,clientIp,Borealis,stonewall_decision,stonewall_reason,neustar_proxy_anonymizer_status,neustar_proxy_type,neustar_proxy_level,neustar_proxy_last_detected,neustar_vpn_service,neustar_hosting_facility,virustotal_malicious,virustotal_undetected,virustotal_suspicious,virustotal_harmless,virustotal_timeout,porcupince
102,89.58.15.12,"{""ips"":[""89.58.15.12""],""results"":[{""resolvedDomains"":[{""ip"":""89.58.15.12"",""date"":""Jun 6, 2024, 2:08:08 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""NEUSTAR"":[{""representation"":{""start_ip_int"":1496977152,""end_ip_int"":1496977279,""start_ip"":""89.58.15.0"",""end_ip"":""89.58.15.127""},""connectivity"":{""continent"":""europe"",""country"":""germany"",""country_code"":""de"",""country_cf"":99,""region"":"""",""state"":""berlin"",""state_code"":""be"",""state_cf"":0,""city"":""berlin"",""city_cf"":80,""postal_code"":""10178"",""postal_code_cf"":2,""area_code"":0,""time_zone"":1.0,""latitude"":52.5192,""longitude"":13.4061,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""dsl"",""line_speed"":""medium""},""organization"":{""asn"":197540,""tld"":""de"",""sld"":""goodsrv"",""organization"":""netcup gmbh"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""netcup gmbh"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""DEVICE"":[],""PORCUPINE"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":30,""suspicious"":0,""harmless"":62,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/89.58.15.12"",""asn"":197540,""country"":""DE"",""asOwner"":""netcup GmbH"",""network"":""89.58.0.0/20""},""SPUR"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""}}}",APPROVED,NA,,,,NA,,false,1,30,0,62,0,[]
103,113.190.227.160,"{""ips"":[""113.190.227.160""],""results"":[{""resolvedDomains"":[{""ip"":""113.190.227.160"",""date"":""Jun 6, 2024, 2:08:09 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":93,""suspicious"":0,""harmless"":0,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/113.190.227.160"",""asn"":45899,""country"":""VN"",""asOwner"":""VNPT Corp"",""network"":""113.160.0.0/11""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1908335516,""end_ip_int"":1908335523,""start_ip"":""113.190.227.156"",""end_ip"":""113.190.227.163""},""connectivity"":{""continent"":""asia"",""country"":""vietnam"",""country_code"":""vn"",""country_cf"":99,""region"":"""",""state"":""ha noi"",""state_code"":"""",""state_cf"":0,""city"":""hoan kiem"",""city_cf"":90,""postal_code"":""110001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":7.0,""latitude"":21.0308,""longitude"":105.854,""dma"":0,""consistency_code"":1,""radius"":3.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":45899,""tld"":""com.vn"",""sld"":""vnpt-hanoi"",""organization"":""vietnam posts and telecommunications group"",""organization_type"":""Telecommunications"",""naics_code"":""000517"",""isic_code"":""J6100"",""carrier"":""vnpt corp"",""home"":""false""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""DEVICE"":[],""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,0,93,0,0,0,[]
104,89.248.168.52,"{""ips"":[""89.248.168.52""],""results"":[{""resolvedDomains"":[{""ip"":""89.248.168.52"",""date"":""Jun 6, 2024, 2:08:11 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":28,""suspicious"":0,""harmless"":64,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""6"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""R3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2023-09-23 04:34:36"",""not_before"":""2023-06-25 04:34:37""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/89.248.168.52"",""asn"":202425,""country"":""NL"",""asOwner"":""IP Volume inc"",""lastHttpsCertificateDate"":""Jul 20, 2023, 08:27:15 AM"",""network"":""89.248.168.0/22"",""jarm"":""2ad2ad0002ad2ad22c2ad2ad2ad2adcb923bdf24d76ffa93e37532e1a9239b""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1509468160,""end_ip_int"":1509468223,""start_ip"":""89.248.168.0"",""end_ip"":""89.248.168.63""},""connectivity"":{""continent"":""europe"",""country"":""netherlands"",""country_code"":""nl"",""country_cf"":86,""region"":"""",""state"":""noord-holland"",""state_code"":""nh"",""state_cf"":0,""city"":""amsterdam"",""city_cf"":50,""postal_code"":""1101"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":52.3091,""longitude"":4.94019,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":202425,""tld"":""com"",""sld"":""criminalip"",""organization"":""ip volume inc"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""ip volume inc"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""DEVICE"":[],""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,1,28,0,64,0,[]
105,104.131.61.20,"{""ips"":[""104.131.61.20""],""results"":[{""resolvedDomains"":[{""ip"":""104.131.61.20"",""date"":""Jun 6, 2024, 2:08:12 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":34,""suspicious"":0,""harmless"":59,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/104.131.61.20"",""asn"":14061,""country"":""US"",""asOwner"":""DIGITALOCEAN-ASN"",""network"":""104.131.0.0/16""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1753431296,""end_ip_int"":1753431327,""start_ip"":""104.131.61.0"",""end_ip"":""104.131.61.31""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":60,""region"":""northeast"",""state"":""new york"",""state_code"":""ny"",""state_cf"":0,""city"":""new york"",""city_cf"":50,""postal_code"":""10020"",""postal_code_cf"":2,""area_code"":212,""time_zone"":-5.0,""latitude"":40.7589,""longitude"":-73.979,""dma"":501,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":14061,""tld"":""com"",""sld"":""myinternetinfo"",""organization"":""digitalocean  llc"",""organization_type"":""Data Services"",""naics_code"":""518210"",""isic_code"":""J6311"",""carrier"":""digitalocean  llc"",""home"":""false""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2022-10-17"",""vpn_service"":""digital ocean"",""hosting_facility"":""true""}}],""SPUR"":[],""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""DEVICE"":[],""PORCUPINE"":[]}}",REJECTED,WARNING_LIST,private,service,elite,2022-10-17,digital ocean,true,0,34,0,59,0,[]
106,87.251.75.179,"{""ips"":[""87.251.75.179""],""results"":[{""resolvedDomains"":[{""ip"":""87.251.75.179"",""date"":""Jun 6, 2024, 11:39:57 AM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":1476086528,""end_ip_int"":1476086783,""start_ip"":""87.251.75.0"",""end_ip"":""87.251.75.255""},""connectivity"":{""continent"":""europe"",""country"":""netherlands"",""country_code"":""nl"",""country_cf"":99,""region"":"""",""state"":""noord-holland"",""state_code"":""nh"",""state_cf"":0,""city"":""amsterdam"",""city_cf"":80,""postal_code"":""1101"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":52.3091,""longitude"":4.94019,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":208091,""tld"":"""",""sld"":"""",""organization"":"" xhost internet solutions lp  suite 6060  128 aldersgate street "",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""xhost internet solutions lp"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":5,""undetected"":26,""suspicious"":3,""harmless"":59,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""lastHttpsCertificate"":{""issuer"":{""C"":""US"",""CN"":""Let\u0027s Encrypt Authority X3"",""O"":""Let\u0027s Encrypt""},""validity"":{""not_after"":""2020-04-15 08:48:01"",""not_before"":""2020-01-16 08:48:01""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/87.251.75.179"",""asn"":208091,""country"":""RU"",""asOwner"":""Xhost Internet Solutions Lp"",""lastHttpsCertificateDate"":""Feb 03, 2020, 06:50:13 AM"",""network"":""87.251.75.0/24""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,5,26,3,59,0,[]
107,185.56.83.101,"{""ips"":[""185.56.83.101""],""results"":[{""resolvedDomains"":[{""ip"":""185.56.83.101"",""date"":""Jun 6, 2024, 1:49:20 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":3107476308,""end_ip_int"":3107476479,""start_ip"":""185.56.83.84"",""end_ip"":""185.56.83.255""},""connectivity"":{""continent"":""europe"",""country"":""switzerland"",""country_code"":""ch"",""country_cf"":99,""region"":"""",""state"":""zuerich"",""state_code"":""zh"",""state_cf"":0,""city"":""zuerich"",""city_cf"":50,""postal_code"":""8043"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":47.3742,""longitude"":8.53695,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":211720,""tld"":""sc"",""sld"":""xor"",""organization"":""datashield  inc."",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""datashield  inc."",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":2,""undetected"":29,""suspicious"":0,""harmless"":62,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/185.56.83.101"",""asn"":211720,""country"":""SC"",""asOwner"":""Datashield, Inc."",""network"":""185.56.83.0/24"",""jarm"":""2ad2ad0002ad2ad0002ad2ad2ad2ad755a2cec4b52fb1bce1ac7f1e48c8a7d""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,2,29,0,62,0,[]
108,94.232.41.216,"{""ips"":[""94.232.41.216""],""results"":[{""resolvedDomains"":[{""ip"":""94.232.41.216"",""date"":""Jun 6, 2024, 2:08:14 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1592272896,""end_ip_int"":1592273407,""start_ip"":""94.232.40.0"",""end_ip"":""94.232.41.255""},""connectivity"":{""continent"":""europe"",""country"":""netherlands"",""country_code"":""nl"",""country_cf"":86,""region"":"""",""state"":""noord-holland"",""state_code"":""nh"",""state_cf"":0,""city"":""amsterdam"",""city_cf"":50,""postal_code"":""1101"",""postal_code_cf"":0,""area_code"":0,""time_zone"":1.0,""latitude"":52.3091,""longitude"":4.94019,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":208091,""tld"":"""",""sld"":"""",""organization"":""dmitriy panchenko"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""xhost internet solutions lp"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":29,""suspicious"":0,""harmless"":63,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/94.232.41.216"",""asn"":208091,""country"":""RU"",""asOwner"":""Xhost Internet Solutions Lp"",""network"":""94.232.40.0/22""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,1,29,0,63,0,[]
109,156.96.113.222,"{""ips"":[""156.96.113.222""],""results"":[{""resolvedDomains"":[{""ip"":""156.96.113.222"",""date"":""Jun 6, 2024, 2:08:15 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":2623566296,""end_ip_int"":2623566323,""start_ip"":""156.96.113.216"",""end_ip"":""156.96.113.243""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":99,""region"":""mid atlantic"",""state"":""pennsylvania"",""state_code"":""pa"",""state_cf"":0,""city"":""taylor"",""city_cf"":80,""postal_code"":""18517"",""postal_code_cf"":2,""area_code"":570,""time_zone"":-5.0,""latitude"":41.3934,""longitude"":-75.7168,""dma"":577,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":46664,""tld"":"""",""sld"":"""",""organization"":""newtrend"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""volume drive"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":0,""undetected"":32,""suspicious"":0,""harmless"":61,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""1"",""vtlink"":""https://www.virustotal.com/gui/ip-address/156.96.113.222"",""asn"":46664,""country"":""US"",""asOwner"":""VDI-NETWORK"",""network"":""156.96.112.0/21""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,0,32,0,61,0,[]
110,107.181.160.90,"{""ips"":[""107.181.160.90""],""results"":[{""resolvedDomains"":[{""ip"":""107.181.160.90"",""date"":""Jun 6, 2024, 2:08:16 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1807065088,""end_ip_int"":1807065215,""start_ip"":""107.181.160.0"",""end_ip"":""107.181.160.127""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":60,""region"":""southwest"",""state"":""california"",""state_code"":""ca"",""state_cf"":0,""city"":""los angeles"",""city_cf"":59,""postal_code"":""90014"",""postal_code_cf"":2,""area_code"":323,""time_zone"":-8.0,""latitude"":34.043,""longitude"":-118.252,""dma"":803,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":204957,""tld"":""com"",""sld"":""layer6"",""organization"":""total server solutions l.l.c."",""organization_type"":""Data Services"",""naics_code"":""518210"",""isic_code"":""J6311"",""carrier"":""green floid llc"",""home"":""false""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""true""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":29,""suspicious"":0,""harmless"":63,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""1"",""numberOfUrls"":""10+"",""vtlink"":""https://www.virustotal.com/gui/ip-address/107.181.160.90"",""asn"":204957,""country"":""US"",""asOwner"":""Green Floid LLC"",""network"":""107.181.160.0/24""},""PORCUPINE"":[]}}",REJECTED,WARNING_LIST,,,,NA,,true,1,29,0,63,0,[]
111,165.22.56.114,"{""ips"":[""165.22.56.114""],""results"":[{""resolvedDomains"":[{""ip"":""165.22.56.114"",""date"":""Jun 6, 2024, 2:01:10 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":2769696768,""end_ip_int"":2769696895,""start_ip"":""165.22.56.0"",""end_ip"":""165.22.56.127""},""connectivity"":{""continent"":""north america"",""country"":""united states"",""country_code"":""us"",""country_cf"":60,""region"":""pacific northwest"",""state"":""washington"",""state_code"":""wa"",""state_cf"":0,""city"":""seattle"",""city_cf"":50,""postal_code"":""98121"",""postal_code_cf"":2,""area_code"":206,""time_zone"":-8.0,""latitude"":47.6135,""longitude"":-122.347,""dma"":819,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":14061,""tld"":""com"",""sld"":"""",""organization"":""digitalocean  llc"",""organization_type"":""Data Services"",""naics_code"":""518210"",""isic_code"":""J6311"",""carrier"":""digitalocean  llc"",""home"":""false""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2022-10-17"",""vpn_service"":""digital ocean"",""hosting_facility"":""true""}}],""STONEWALL"":{""decision"":""REJECTED"",""reason"":""WARNING_LIST"",""filename"":""vpn-ipv4.csv""},""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":28,""suspicious"":0,""harmless"":64,""timeout"":0},""tags"":[""self-signed""],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""1"",""numberOfUrls"":""2"",""lastHttpsCertificate"":{""issuer"":{""CN"":""letsencrypt-nginx-proxy-companion""},""validity"":{""not_after"":""2024-10-08 00:25:31"",""not_before"":""2023-10-09 00:25:31""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/165.22.56.114"",""asn"":14061,""country"":""SG"",""asOwner"":""DIGITALOCEAN-ASN"",""lastHttpsCertificateDate"":""Dec 16, 2023, 02:09:07 PM"",""network"":""165.22.0.0/16"",""jarm"":""15d3fd16d29d29d00042d43d000000ea552d307cdd65a9a94fec1293390a04""},""PORCUPINE"":[]}}",REJECTED,WARNING_LIST,private,service,elite,2022-10-17,digital ocean,true,1,28,0,64,0,[]
112,85.203.21.50,"{""ips"":[""85.203.21.50""],""results"":[{""resolvedDomains"":[{""ip"":""85.203.21.50"",""date"":""Jun 6, 2024, 2:08:17 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1439372545,""end_ip_int"":1439372799,""start_ip"":""85.203.21.1"",""end_ip"":""85.203.21.255""},""connectivity"":{""continent"":""asia"",""country"":""singapore"",""country_code"":""sg"",""country_cf"":99,""region"":"""",""state"":""central singapore"",""state_code"":""01"",""state_cf"":0,""city"":""singapore"",""city_cf"":80,""postal_code"":""247964"",""postal_code_cf"":0,""area_code"":0,""time_zone"":8.0,""latitude"":1.28795,""longitude"":103.852,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""tx"",""line_speed"":""high""},""organization"":{""asn"":206092,""tld"":"""",""sld"":"""",""organization"":""express-equinix-tokyo"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""ipxo limited"",""home"":""""},""proxy"":{""anonymizer_status"":""private"",""proxy_type"":""service"",""proxy_level"":""elite"",""proxy_last_detected"":""2020-10-20"",""vpn_service"":""expressvpn"",""hosting_facility"":""true""}}],""SPUR"":[{""as"":{""number"":206092,""Organization"":""Ipxo Limited""},""ip"":""85.203.21.50"",""risks"":[""TUNNEL"",""GEO_MISMATCH""],""client"":{""count"":3,""types"":[""DESKTOP"",""MOBILE""],""spread"":1,""behaviors"":[""LUMINATI_PROXY_USER"",""FILE_SHARING""],""countries"":1,""concentration"":{""city"":""Maha Sarakham"",""skew"":1659,""state"":""Maha Sarakham"",""country"":""TH"",""density"":0.5,""geohash"":""w6cknm""}},""tunnels"":[{""type"":""VPN"",""operator"":""EXPRESS_VPN"",""anonymous"":true}],""location"":{""country"":""SG""},""organization"":""VPN Consumer Network"",""infrastructure"":""DATACENTER""}],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":29,""suspicious"":0,""harmless"":63,""timeout"":0},""tags"":[""vpn""],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/85.203.21.50"",""asn"":206092,""country"":""SG"",""asOwner"":""Internet Utilities Europe and Asia Limited"",""network"":""85.203.20.0/23""},""PORCUPINE"":[]}}",APPROVED,NA,private,service,elite,2020-10-20,expressvpn,true,1,29,0,63,0,[]
113,81.21.87.60,"{""ips"":[""81.21.87.60""],""results"":[{""resolvedDomains"":[{""ip"":""81.21.87.60"",""date"":""Jun 6, 2024, 2:08:19 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""NEUSTAR"":[{""representation"":{""start_ip_int"":1360353084,""end_ip_int"":1360353155,""start_ip"":""81.21.87.60"",""end_ip"":""81.21.87.131""},""connectivity"":{""continent"":""asia"",""country"":""azerbaijan"",""country_code"":""az"",""country_cf"":86,""region"":"""",""state"":""baku"",""state_code"":"""",""state_cf"":0,""city"":""baku"",""city_cf"":61,""postal_code"":""az1001"",""postal_code_cf"":0,""area_code"":0,""time_zone"":4.0,""latitude"":40.3789,""longitude"":49.84,""dma"":0,""consistency_code"":4,""radius"":0.0,""ip_routing_type"":""fixed"",""connection_type"":""dsl"",""line_speed"":""medium""},""organization"":{""asn"":39280,""tld"":"""",""sld"":"""",""organization"":""ultel llc"",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""ultel llc"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":29,""suspicious"":0,""harmless"":63,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""0"",""numberOfUrls"":""2"",""vtlink"":""https://www.virustotal.com/gui/ip-address/81.21.87.60"",""asn"":39280,""country"":""AZ"",""asOwner"":""Ultel LLC"",""network"":""81.21.80.0/20""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,1,29,0,63,0,[]
114,203.115.110.73,"{""ips"":[""203.115.110.73""],""results"":[{""resolvedDomains"":[{""ip"":""203.115.110.73"",""date"":""Jun 6, 2024, 1:55:39 PM"",""addedOn"":20240606}],""status"":""UNKNOWN""}],""modules"":{""DEVICE"":[],""NEUSTAR"":[{""representation"":{""start_ip_int"":3413339712,""end_ip_int"":3413339727,""start_ip"":""203.115.110.64"",""end_ip"":""203.115.110.79""},""connectivity"":{""continent"":""asia"",""country"":""india"",""country_code"":""in"",""country_cf"":99,""region"":"""",""state"":""delhi"",""state_code"":""dl"",""state_cf"":0,""city"":""indraprastha"",""city_cf"":90,""postal_code"":""110002"",""postal_code_cf"":2,""area_code"":0,""time_zone"":5.5,""latitude"":28.6546,""longitude"":77.2309,""dma"":0,""consistency_code"":1,""radius"":0.0,""ip_routing_type"":"""",""connection_type"":"""",""line_speed"":""""},""organization"":{""asn"":17426,""tld"":""in"",""sld"":""vtrans"",""organization"":""primenet global ltd."",""organization_type"":"""",""naics_code"":"""",""isic_code"":"""",""carrier"":""primesoftex ltd"",""home"":""""},""proxy"":{""anonymizer_status"":"""",""proxy_type"":"""",""proxy_level"":"""",""vpn_service"":"""",""hosting_facility"":""false""}}],""STONEWALL"":{""decision"":""APPROVED"",""reason"":""NA""},""SPUR"":[],""VIRUSTOTAL"":{""avResults"":{""malicious"":1,""undetected"":29,""suspicious"":0,""harmless"":63,""timeout"":0},""tags"":[],""numberOfCommunicatingFiles"":""0"",""numberOfDownloadedFiles"":""1"",""numberOfUrls"":""4"",""lastHttpsCertificate"":{""issuer"":{""ST"":""Arizona"",""C"":""US"",""OU"":""http://certs.godaddy.com/repository/"",""CN"":""Go Daddy Secure Certificate Authority - G2"",""L"":""Scottsdale"",""O"":""GoDaddy.com, Inc.""},""validity"":{""not_after"":""2024-01-26 14:39:16"",""not_before"":""2022-12-25 14:51:36""}},""vtlink"":""https://www.virustotal.com/gui/ip-address/203.115.110.73"",""asn"":17426,""country"":""IN"",""asOwner"":""Primesoftex Ltd"",""lastHttpsCertificateDate"":""Dec 16, 2023, 12:11:16 PM"",""network"":""203.115.96.0/19"",""jarm"":""2ad2ad16d00000022c2ad2ad2ad2adbc07bc352a188303b518c8a273c71220""},""PORCUPINE"":[]}}",APPROVED,NA,,,,NA,,false,1,29,0,63,0,[]
